Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
lin-53 	WBGene00003036 	Yes 	Yes 	6 	Yes, embryonic lethal
lin-61 	WBGene00003041 	Yes 	Yes 		
lmd-1 	WBGene00009665 	Yes 	Yes 		
lmn-1 	WBGene00003052 	Yes 	Yes 	6 	Yes, embryonic lethal
lpd-2 	WBGene00003059 	Yes 	Yes 		
lpd-3 	WBGene00003060 	Yes 	Yes 	3 	Yes
lpd-5 	WBGene00003061 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
lpd-6 	WBGene00003062 	Yes 	Yes 		
lrk-1 	WBGene00003068 	Yes 	Yes 		
lsm-6 	WBGene00003080 	Yes 	Yes 	1 	Yes
M01A10.1 (fubl-4) 	WBGene00019692 	Yes 	Yes 	3 	Yes
M01E11.1 	WBGene00019710 	Yes 	Yes 		
M01E11.2 (ctnb-1) 	WBGene00019711 	Yes 	Yes 		
M01E5.2 	WBGene00010805 	Yes 	Yes 		
M04F3.4 	WBGene00019770 	Yes 	Yes 	1 	Yes
M04F3.5 	WBGene00019771 	Yes 	Yes 		
M05B5.4 	WBGene00010872 	Yes 	Yes 	2 	Yes
maco-1 	WBGene00017066 	Yes 	Yes 	1 	Yes
mafr-1 	WBGene00016622 	Yes 	Yes 		
mag-1 	WBGene00003123 	Yes 	Yes 	4 	Yes, embryonic lethal
magu-3 	WBGene00016841 	Yes 	Yes 		
mans-1 	WBGene00008411 	Yes 	Yes 	2 	Yes
marc-3 	WBGene00007643 	Yes 	Yes 		
mat-1 	WBGene00003132 	Yes 	Yes 	2 	Yes, embryonic lethal
mau-2 	WBGene00003136 	Yes 	Yes 		
mbtr-1 	WBGene00021661 	Yes 	Yes 	2 	Yes
mce-1 	WBGene00008415 	Yes 	Yes 		
mcm-4 	WBGene00003156 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
mcrs-1 	WBGene00010420 	Yes 	Yes 		
mdt-18 	WBGene00007018 	Yes 	Yes 	3 	Yes
mec-8 	WBGene00003172 	Yes 	Yes 		
mex-3 	WBGene00003229 	Yes 	Yes 	4 	Yes, embryonic lethal
mfap-1 	WBGene00009671 	Yes 	Yes 	4 	Yes, embryonic lethal
mfb-1 	WBGene00008439 	Yes 	Yes 		
mig-1 	WBGene00003238 	Yes 	Yes 		
mppa-1 	WBGene00022159 	Yes 	Yes 		
mrpl-13 	WBGene00008769 	Yes 	Yes 	4 	Yes
mrpl-15 	WBGene00022373 	Yes 	Yes 	4 	Yes, embryonic lethal
mrpl-17 	WBGene00021829 	Yes 	Yes 		
mrpl-19 	WBGene00022470 	Yes 	Yes 	1 	Yes, embryonic lethal
mrpl-24 	WBGene00019076 	Yes 	Yes 	4 	Yes, embryonic lethal
mrpl-34 	WBGene00007712 	Yes 	Yes 		
mrpl-47 	WBGene00015092 	Yes 	Yes 	3 	Yes
msh-2 	WBGene00003418 	Yes 	Yes 		
msh-6 	WBGene00003422 	Yes 	Yes 	2 	Yes
mtcu-1 	WBGene00009557 	Yes 	Yes 		
mtm-1 	WBGene00003475 	Yes 	Yes 		
mtx-1 	WBGene00009559 	Yes 	Yes 		
mus-101 	WBGene00009507 	Yes 	Yes 	4 	Yes
mus-81 	WBGene00016602 	Yes 	Yes 		
nab-1 	WBGene00003516 	Yes 	Yes 		
nars-1 	WBGene00003815 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
nath-10 	WBGene00018866 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
ncbp-1 	WBGene00018156 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
ncbp-2 	WBGene00009141 	Yes 	Yes 	4 	Yes, embryonic lethal
ndk-1 	WBGene00009119 	Yes 	Yes 		
nduf-6 	WBGene00009051 	Yes 	Yes 	4 	Yes, embryonic lethal
nduf-7 	WBGene00012376 	Yes 	Yes 	2 	Yes, embryonic lethal
ndx-4 	WBGene00003581 	Yes 	Yes 		
ndx-7 	WBGene00003584 	Yes 	Yes 	2 	Yes
ned-8 	WBGene00003587 	Yes 	Yes 	4 	Yes, embryonic lethal
ngp-1 	WBGene00003596 	Yes 	Yes 	2 	Yes, embryonic lethal
nhr-23 	WBGene00003622 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
nhr-49 	WBGene00003639 	Yes 	Yes 		
nhr-69 	WBGene00003659 	Yes 	Yes 		
nhx-8 	WBGene00003735 	Yes 	Yes 		
nkb-1 	WBGene00007646 	Yes 	Yes 	4 	Yes, embryonic lethal
nmat-2 	WBGene00009176 	Yes 	Yes 		
nmur-4 (trhr-1) 	WBGene00016265 	Yes 	Yes 		
npp-12 	WBGene00003798 	Yes 	Yes 	5 	Yes, embryonic lethal
npp-14 	WBGene00003800 	Yes 	Yes 		
npp-2 	WBGene00003788 	Yes 	Yes 	6 	Yes, embryonic lethal
nra-2 	WBGene00011488 	Yes 	Yes 		
nrd-1 	WBGene00017004 	Yes 	Yes 	2 	Yes
nsf-1 	WBGene00003818 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
nubp-1 	WBGene00008664 	Yes 	Yes 		
nuo-2 	WBGene00020417 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
ola-1 	WBGene00012344 	Yes 	Yes 		
otub-2 	WBGene00021733 	Yes 	Yes 	1 	Yes
pab-1 	WBGene00003902 	Yes 	Yes 	1 	Yes
pabp-2 	WBGene00003904 	Yes 	Yes 	4 	Yes, embryonic lethal
pad-1 	WBGene00003905 	Yes 	Yes 	2 	Yes, embryonic lethal
pamn-1 	WBGene00020556 	Yes 	Yes 		
par-6 	WBGene00003921 	Yes 	Yes 	6 	Yes, embryonic lethal
pars-2 	WBGene00004190 	Yes 	Yes 		
pas-4 	WBGene00003925 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pas-5 	WBGene00003926 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pash-1 	WBGene00011908 	Yes 	Yes 		
pat-10 	WBGene00003934 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pbrm-1 	WBGene00007042 	Yes 	Yes 		
pbs-2 	WBGene00003948 	Yes 	Yes 	3 	Yes, embryonic lethal
pbs-4 	WBGene00003950 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pbs-5 	WBGene00003951 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pbs-7 	WBGene00003953 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
